fname	 datetime	 frames	 zdepth	 tottime (s)	 stimbouts	locnum	active cells	inverted cell flag	stimulus code	qualitative goodness (0-10)	Driver	Moving	Layer(2/4)	Stimulus Wavelength	flyID	responsivefly	Layercheck	SingleFly	PTX_5_100	Washout5mM	Washout100mM
200805_Fly2_4_Image4_pData_SIMA_only_m.mat		1800	35.45	1607359					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	576	1	0	0	0	0	0
200805_Fly2_5_Image5_pData_SIMA_only_m.mat		1800	50.33	1607359					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	576	1	0	0	0	0	0
200805_Fly2_6_Image6_pData_SIMA_only_m.mat		1800	65.45	1607359					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	576	1	0	0	0	0	0
200805_Fly3_10_Image11_pData_SIMA_only_m.mat		1800	50.48	1664441					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	577	1	0	0	0	0	0
200805_Fly3_1_Image1_pData_SIMA_only_m.mat		1800	35.08	166446					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	577	1	0	0	0	0	0
200805_Fly3_2_Image2_pData_SIMA_only_m.mat		1800	50.45	166446					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	577	1	0	0	0	0	0
200805_Fly3_3_Image3_pData_SIMA_only_m.mat		1800	65.1	166446					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	577	1	0	0	0	0	0
200805_Fly3_4_Image4_pData_SIMA_only_m.mat		1800	80.22	166446					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	577	1	0	0	0	0	0
200805_Fly3_5_Image6_pData_SIMA_only_m.mat		1800	35.15	1607415					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	577	1	0	0	0	0	0
200805_Fly3_6_Image7_pData_SIMA_only_m.mat		1800	50.45	1607415					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	577	1	0	0	0	0	0
