fname	 datetime	 frames	 zdepth	 tottime (s)	 stimbouts	locnum	active cells	inverted cell flag	stimulus code	qualitative goodness (0-10)	Driver	Moving	Layer(2/4)	Stimulus Wavelength	flyID	responsivefly	Layercheck	SingleFly	PTX_5_100	Washout5mM	Washout100mM
181130_Fly1_1_Image2_pData_SIMA_only_m.mat		900	16.45	912668					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	262	1	0	0	0	0	0
181130_Fly1_1_Image3_pData_SIMA_only_m.mat		900	16.45	912668					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	262	1	0	0	0	0	0
181130_Fly1_2_Image2_pData_SIMA_only_m.mat		900	30.2	912668					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	262	1	0	0	0	0	0
181130_Fly1_2_Image3_pData_SIMA_only_m.mat		900	30.2	912668					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	262	1	0	0	0	0	0
181130_Fly1_3_Image2_pData_SIMA_only_m.mat		900	45.78	912668					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	262	1	0	0	0	0	0
181130_Fly1_3_Image3_pData_SIMA_only_m.mat		900	45.78	912668					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	262	1	0	0	0	0	0
181130_Fly2_2_Image2_pData_SIMA_only_m.mat		900	16.93	905353					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	263	1	0	0	0	0	0
181130_Fly2_2_Image3_pData_SIMA_only_m.mat		900	16.93	905353					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	263	1	0	0	0	0	0
181130_Fly2_3_Image2_pData_SIMA_only_m.mat		900	45.42	905353					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	263	1	0	0	0	0	0
181130_Fly2_3_Image3_pData_SIMA_only_m.mat		900	45.42	905353					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	263	1	0	0	0	0	0
181130_Fly2_4_Image2_pData_SIMA_only_m.mat		900	33.87	905353					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	263	1	0	0	0	0	0
181130_Fly2_4_Image3_pData_SIMA_only_m.mat		900	33.87	905353					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	263	1	0	0	0	0	0
181130_Fly2_5_Image2_pData_SIMA_only_m.mat		900	60.33	905353					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	263	1	0	0	0	0	0
181130_Fly2_5_Image3_pData_SIMA_only_m.mat		900	60.33	905353					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	263	1	0	0	0	0	0
181130_Fly3_2_Image4_pData_SIMA_only_m.mat		900	40.08	902471					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	264	1	0	0	0	0	0
181130_Fly3_2_Image5_pData_SIMA_only_m.mat		900	40.08	902471					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	264	1	0	0	0	0	0
181130_Fly3_3_Image7_pData_SIMA_only_m.mat		900	45.33	902471					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	264	1	0	0	0	0	0
181130_Fly3_3_Image8_pData_SIMA_only_m.mat		900	45.33	902471					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	264	1	0	0	0	0	0
181130_Fly3_4_Image10_pData_SIMA_only_m.mat		900	60.53	902471					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	264	1	0	0	0	0	0
